customerid,actual_churn,predicted_churn,churn_probability,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,cltv,risk_segment,expected_monthly_revenue_at_risk,expected_annual_revenue_at_risk,retention_priority_score,priority_group
6848-HJTXY,0,0,0.017781606,Female,No,Yes,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.45,1208.6,5628,Low Risk,0.34585223561152817,4.150226827338338,100.0748782530427,Low Priority
4184-VODJZ,0,0,0.026269343,Male,No,Yes,Yes,63,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,91.35,5764.7,4512,Low Risk,2.3997044602409003,28.796453522890804,118.52727448940277,Low Priority
4846-WHAFZ,1,0,0.13091573,Female,Yes,Yes,Yes,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,2793,Low Risk,10.015053436160088,120.18064123392105,365.6476372182369,Medium Priority
8735-SDUFN,0,0,0.014477029,Female,Yes,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.3,1778.7,4397,Low Risk,0.35179181545972826,4.22150178551674,63.65549845993519,Low Priority
0839-JTCUD,0,0,0.032232787,Female,No,Yes,No,66,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.9,5958.85,4082,Low Risk,2.897727592661977,34.77273111194373,131.5742384120822,Low Priority
6857-VWJDT,1,1,0.8371963,Female,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.65,95.65,3473,High Risk,80.07782518565655,960.9339022278787,2907.582716882229,Critical Priority
7363-QTBIW,0,1,0.7179155,Female,No,Yes,No,9,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.75,769.1,4654,High Risk,57.253759160637856,687.0451099276543,3341.178622364998,Critical Priority
6158-HDPXZ,0,1,0.5627225,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,25.35,25.35,4193,Medium Risk,14.265015479922296,171.18018575906754,2359.495459854603,Critical Priority
5419-CONWX,1,1,0.76868933,Female,Yes,No,No,4,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.8,442.85,2268,High Risk,76.71519557237625,920.582346868515,1743.387410402298,Critical Priority
9286-DOJGF,1,0,0.42536545,Female,Yes,Yes,No,38,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.95,2869.85,5165,Low Risk,31.881140327453615,382.5736839294434,2197.012538909912,Critical Priority
2408-PSJVE,0,0,0.03611179,Male,No,Yes,Yes,44,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,61.9,2924.05,4388,Low Risk,2.2353198435157537,26.823838122189045,158.45853753387928,Low Priority
2087-QAREY,0,0,0.29056266,Female,No,Yes,No,22,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,54.7,1178.75,5722,Low Risk,15.89377747476101,190.7253296971321,1662.5995376706123,High Priority
6777-TGHTM,1,0,0.23367146,Female,No,No,No,53,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),106.95,5785.5,5550,Low Risk,24.991162280738354,299.89394736886027,1296.876583993435,High Priority
6507-ZJSUR,0,1,0.58704233,Male,Yes,Yes,No,23,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.45,2117.25,5272,Medium Risk,53.0979789018631,637.1757468223573,3094.8871726989746,Critical Priority
5025-GOOKI,0,0,0.10794439,Female,No,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.9,347.65,4277,Low Risk,2.04014900252223,24.48178803026676,461.67816316336393,Medium Priority
6080-LNESI,0,0,0.018160783,Male,No,No,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.75,1234.6,5080,Low Risk,0.44947937317192554,5.3937524780631065,92.25677639245987,Low Priority
2236-HILPA,0,0,0.003706156,Male,No,Yes,Yes,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.65,1218.45,6403,Low Risk,0.07653212229488417,0.9183854675386101,23.730517145479098,Low Priority
1386-ZIKUV,0,0,0.13025618,Male,No,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.95,130.55,4097,Low Risk,2.468354535102844,29.62025442123413,533.6595530509949,Medium Priority
3365-SAIGS,0,1,0.5353912,Female,No,No,No,17,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.55,1329.15,5564,Medium Risk,44.731935721635814,536.7832286596298,2978.9167008399963,Critical Priority
6061-GWWAV,0,0,0.014182475,Male,No,No,Yes,41,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Mailed check,70.2,2894.55,5365,Low Risk,0.9956097727641464,11.947317273169757,76.08898049686104,Low Priority
9979-RGMZT,0,1,0.45316976,Female,No,No,No,7,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,94.05,633.45,5545,Medium Risk,42.62061621844769,511.44739462137227,2512.826336324215,Critical Priority
8445-DNBAE,0,1,0.5228376,Male,No,No,Yes,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,50.05,50.05,5523,Medium Risk,26.1680208414793,314.0162500977516,2887.631950199604,Critical Priority
6872-HXFNF,0,0,0.05590425,Female,No,Yes,No,64,Yes,Yes,DSL,No,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),58.35,3756.45,5331,Low Risk,3.262013022042811,39.14415626451373,298.02555990591645,Medium Priority
1320-HTRDR,1,1,0.7303886,Female,No,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.5,220.6,5948,High Risk,55.14433792233467,661.732055068016,4344.351284265518,Critical Priority
3923-CSIHK,1,0,0.4263525,Female,Yes,Yes,No,50,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,71.05,3444.85,5746,Low Risk,30.292345190048216,363.50814228057857,2449.82147026062,Critical Priority
2446-ZKVAF,0,0,0.27852136,Male,No,Yes,No,18,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),56.8,1074.65,5558,Low Risk,15.820013189315794,189.84015827178953,1548.0217131376266,High Priority
4640-UHDOS,1,0,0.33433858,Female,No,Yes,No,13,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,55.95,734.35,4498,Low Risk,18.706243304908277,224.47491965889932,1503.8549130558968,High Priority
5457-COLHT,0,0,0.00501655,Male,No,Yes,Yes,69,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),80.65,5542.55,4618,Low Risk,0.4045847539557144,4.855017047468573,23.166427697055042,Low Priority
2254-DLXRI,0,1,0.80908585,Female,No,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,79.15,79.15,2742,High Risk,64.03914470672608,768.469736480713,2218.5133895874023,Critical Priority
5339-PXDVH,0,1,0.65106076,Male,No,No,No,4,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,90.65,367.95,3559,Medium Risk,59.018657895922665,708.223894751072,2317.1252449154854,Critical Priority
2386-LAHRK,1,1,0.62937707,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,53.5,53.5,5094,Medium Risk,33.67167308926582,404.0600770711899,3206.0467797517776,Critical Priority
5062-CJJKH,0,0,0.017913528,Male,No,Yes,Yes,25,Yes,No,DSL,No,Yes,Yes,No,No,No,One year,No,Mailed check,53.65,1355.45,5854,Low Risk,0.9610607657581568,11.532729189097882,104.86579166352749,Low Priority
8930-XOTDP,0,0,0.08326069,Female,No,Yes,Yes,18,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.95,1082.8,2035,Low Risk,4.658435754105449,55.90122904926539,169.4355095550418,Low Priority
4779-ZGICK,0,0,0.006447416,Male,No,Yes,Yes,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,23.55,1173.35,5019,Low Risk,0.15183664206415415,1.8220397047698498,32.359579894691706,Low Priority
9534-NSXEM,0,0,0.045066603,Male,No,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.65,595.5,2194,Low Risk,0.9306253422051668,11.167504106462001,98.87612594664097,Low Priority
3716-BDVDB,1,1,0.8144751,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.1,69.1,5795,High Risk,56.28023073077201,675.3627687692641,4719.883315265179,Critical Priority
9842-EFSYY,0,0,0.2361792,Female,No,No,Yes,4,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,57.2,223.75,2421,Low Risk,13.509450399875641,162.1134047985077,571.7898499667645,Medium Priority
9122-UMROB,0,0,0.3134282,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.3,20.3,4270,Low Risk,6.362592324614525,76.3511078953743,1338.3383855223656,High Priority
1867-BDVFH,1,1,0.67993325,Male,No,Yes,No,11,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.35,834.2,5075,Medium Risk,50.5530371338129,606.6364456057548,3450.6612434983253,Critical Priority
5949-EBSQK,1,0,0.14715436,Male,No,Yes,Yes,4,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),61.45,229.55,2131,Low Risk,9.042635484039783,108.51162580847739,313.58594331145287,Medium Priority
4160-AMJTL,1,0,0.15062846,Female,Yes,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.65,164.3,5432,Low Risk,2.959849286824465,35.51819144189358,818.2138079404831,High Priority
8622-ZLFKO,0,1,0.8109398,Female,No,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.75,512.25,4297,High Risk,73.59278583526611,883.1134300231934,3484.6082725524902,Critical Priority
2990-IAJSV,0,0,0.01996559,Male,No,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),92.0,6632.75,4200,Low Risk,1.8368343636393547,22.042012363672256,83.85548181831837,Low Priority
6064-ZATLR,0,0,0.03126205,Female,No,No,No,27,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),52.85,1498.65,2842,Low Risk,1.6521994119510055,19.826392943412067,88.84674983471632,Low Priority
7409-KIUTL,1,1,0.83493775,Female,Yes,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,71.0,71.0,5345,High Risk,59.28058034181595,711.3669641017914,4462.74228066206,Critical Priority
5505-OVWQW,0,0,0.038546547,Female,No,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.15,353.65,4650,Low Risk,0.77671292796731,9.32055513560772,179.24144491553307,Medium Priority
3948-KXDUF,0,0,0.018431887,Male,No,No,No,66,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),68.75,4447.55,5454,Low Risk,1.2671922333538532,15.206306800246239,100.52751186490059,Low Priority
9814-AOUDH,0,0,0.019463526,Male,No,No,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.5,1050.5,5625,Low Risk,0.3795387586578727,4.554465103894472,109.4823342282325,Low Priority
7398-LXGYX,0,0,0.3411399,Male,No,Yes,No,44,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),84.8,3626.35,2770,Low Risk,28.92866458892822,347.1439750671386,944.9575579166412,High Priority
5266-PFRQK,0,0,0.012326721,Male,No,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.85,1071.6,4886,Low Risk,0.25701213497668507,3.084145619720221,60.228359304368496,Low Priority
1568-BEKZM,0,0,0.030558506,Male,Yes,Yes,No,70,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),90.05,6333.4,4666,Low Risk,2.7517934677191076,33.02152161262929,142.58598912134767,Low Priority
2692-PFYTJ,0,0,0.39335898,Female,No,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,25.75,25.75,2569,Low Risk,10.12899362295866,121.54792347550392,1010.5392084419727,High Priority
2533-QVMSK,1,0,0.11854282,Male,No,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,94.1,5638.3,6295,Low Risk,11.154879382252693,133.8585525870323,746.2270532548428,High Priority
5828-AVIPD,1,1,0.50147516,Male,No,Yes,No,19,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,100.95,1875.55,4072,Medium Risk,50.62391693294048,607.4870031952858,2042.00683259964,Critical Priority
2907-ILJBN,0,0,0.0511524,Female,No,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.6,233.9,4047,Low Risk,1.0537394538521767,12.644873446226121,207.01376552134752,Medium Priority
5226-NOZFC,0,1,0.46567097,Male,No,No,No,26,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.75,2146.5,3178,Medium Risk,39.93128594011068,479.1754312813282,1479.9023523926735,High Priority
7114-AEOZE,0,0,0.015940614,Female,No,No,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.85,1128.1,6213,Low Risk,0.3164211887866259,3.7970542654395105,99.03903505951166,Low Priority
2202-CUYXZ,1,1,0.85524225,Male,No,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,84.85,84.85,3086,High Risk,72.56730511188506,870.8076613426208,2639.277590751648,Critical Priority
3466-RITXD,0,0,0.33929968,Male,No,No,No,26,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),92.4,2349.8,5461,Low Risk,31.3512903213501,376.2154838562012,1852.9155459403992,Critical Priority
7278-CKDNC,0,1,0.49807405,Male,Yes,No,No,24,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,80.5,2088.45,4422,Medium Risk,40.094961404800415,481.139536857605,2202.4834699630737,Critical Priority
1956-YIFGE,0,0,0.074094966,Male,No,Yes,Yes,22,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,100.05,2090.25,3274,Low Risk,7.413201353698969,88.95841624438762,242.5869188606739,Medium Priority
0422-UXFAP,0,0,0.39507824,Female,No,Yes,No,51,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,98.85,4947.55,6034,Low Risk,39.053484204411504,468.64181045293805,2383.902111172676,Critical Priority
3733-UOCWF,0,0,0.110008635,Male,Yes,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),85.55,5251.75,4845,Low Risk,9.411238692328334,112.93486430794002,532.9918347671628,Medium Priority
7191-ADRGF,0,0,0.08237564,Male,No,Yes,No,44,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),54.3,2390.45,3222,Low Risk,4.472997153550386,53.67596584260463,265.41430623829365,Medium Priority
5709-LVOEQ,0,0,0.21042795,Female,No,Yes,No,0,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Mailed check,80.85,0.0,2048,Low Risk,17.01310014501214,204.15720174014567,430.9564514160156,Medium Priority
6034-YMTOB,0,1,0.49257705,Female,No,No,No,5,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,75.65,399.45,2296,Medium Risk,37.26345354169607,447.1614425003529,1130.9568979740143,High Priority
6372-RFVNS,1,1,0.8059507,Female,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,78.8,78.8,5075,High Risk,63.508915257453914,762.106983089447,4090.1998087763786,Critical Priority
9052-DHNKM,0,0,0.0685152,Male,No,No,No,26,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,No,Electronic check,61.55,1581.95,5156,Low Risk,4.21711034104228,50.60532409250736,353.26435285806656,Medium Priority
5609-IMCGG,0,0,0.4471916,Female,No,No,No,15,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),84.35,1302.65,3314,Low Risk,37.72061112523079,452.64733350276947,1481.9929492473602,High Priority
2959-MJHIC,1,1,0.7628349,Male,No,Yes,No,4,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.35,307.4,4167,High Risk,61.293784743547434,735.5254169225692,3178.7330557107925,Critical Priority
1319-YLZJG,0,1,0.53659284,Male,No,Yes,No,12,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,84.6,959.9,2499,Medium Risk,45.39575436115265,544.7490523338317,1340.9455100297928,High Priority
7623-TRNQN,1,0,0.25455678,Male,No,No,Yes,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,49.9,49.9,3113,Low Risk,12.702383077144622,152.42859692573546,792.4352408647537,High Priority
0377-JBKKT,0,0,0.056762908,Male,No,Yes,Yes,22,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,57.95,1271.8,5036,Low Risk,3.2894104985520247,39.4729259826243,285.85800294578075,Medium Priority
1936-CZAKF,0,0,0.07645945,Male,No,Yes,No,49,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Credit card (automatic),49.65,2409.9,4283,Low Risk,3.796211817115545,45.55454180538654,327.4758350998163,Medium Priority
5063-IUOKK,0,0,0.02550639,Male,No,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.75,265.75,2016,Low Risk,0.5037512076087296,6.045014491304755,51.420882761478424,Low Priority
8646-JCOMS,0,0,0.11029949,Female,No,Yes,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),90.55,6130.95,4958,Low Risk,9.987618855014443,119.85142626017331,546.8648733645678,Medium Priority
0979-MOZQI,0,0,0.05818506,Male,No,Yes,No,62,No,No phone service,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),39.0,2337.45,4987,Low Risk,2.269217323511839,27.230607882142067,290.16889211162925,Medium Priority
1525-LNLOJ,0,0,0.09023597,Male,No,Yes,No,66,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),63.3,4189.7,4186,Low Risk,5.711936958879233,68.5432435065508,377.7277742475271,Medium Priority
5759-RCVCB,1,1,0.4612928,Female,No,No,No,3,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),35.2,108.95,5450,Medium Risk,16.237506675720216,194.8500801086426,2514.0457779169083,Critical Priority
9968-FFVVH,0,0,0.032580525,Male,No,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Bank transfer (automatic),68.8,4111.35,5082,Low Risk,2.2415400981903075,26.89848117828369,165.57422643899918,Low Priority
2266-FUBDZ,0,0,0.010492764,Male,No,Yes,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,278.85,2742,Low Risk,0.20303499139845374,2.436419896781445,28.771160021424294,Low Priority
4760-THGOT,0,0,0.4303973,Female,No,Yes,No,43,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,94.1,4107.3,4392,Low Risk,40.50038610994815,486.00463331937783,1890.3049499988556,Critical Priority
2307-FYNNL,0,0,0.1416936,Male,Yes,No,No,65,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,109.05,7108.2,5692,Low Risk,15.451687840372324,185.4202540844679,806.5200108885765,High Priority
1143-NMNQJ,1,1,0.80876786,Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.7,169.8,2187,High Risk,69.31140518784524,831.7368622541428,1768.7752992510796,Critical Priority
1629-DQQVB,0,0,0.17047454,Female,No,No,No,14,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),50.1,709.5,2331,Low Risk,8.540774662792684,102.4892959535122,397.3761624544859,Medium Priority
3766-EJLFL,0,0,0.018503094,Female,No,Yes,Yes,68,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),109.05,7508.55,6391,Low Risk,2.0177624107338485,24.213148928806184,118.25327434204519,Low Priority
8457-XIGKN,0,0,0.118949056,Male,No,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),19.6,356.15,5909,Low Risk,2.3314014911651615,27.976817893981938,702.8699699640274,Medium Priority
4981-FLTMF,0,0,0.023660908,Female,No,Yes,Yes,57,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),65.2,3687.85,4491,Low Risk,1.542691170424223,18.512294045090677,106.261135680601,Low Priority
7606-BPHHN,0,0,0.009347647,Male,No,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.8,1468.75,5368,Low Risk,0.18508341908454895,2.2210010290145874,50.17817139625549,Low Priority
7005-CCBKV,1,1,0.6982215,Male,No,No,No,6,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.4,556.35,4539,Medium Risk,58.929894995689395,707.1587399482728,3169.2274097800255,Critical Priority
4648-YPBTM,0,0,0.048541382,Male,No,No,No,53,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),73.9,3958.25,5644,Low Risk,3.587208126485348,43.04649751782418,273.9675597548485,Medium Priority
2325-ZUSFD,1,0,0.08385741,Female,No,Yes,No,57,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),70.1,3913.3,4669,Low Risk,5.8784044168889515,70.54085300266742,391.5302456840873,Medium Priority
1240-KNSEZ,1,0,0.44817692,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.1,20.1,4933,Low Risk,9.008356100320817,108.10027320384981,2210.8567484021187,Critical Priority
0430-IHCDJ,0,0,0.44283447,Male,No,No,No,15,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.0,749.25,2597,Low Risk,21.69888886809349,260.3866664171219,1150.041110008955,High Priority
7957-RYHQD,1,0,0.25535476,Female,Yes,No,No,40,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),79.2,3233.85,3207,Low Risk,20.22409715652466,242.6891658782959,818.9227219820023,High Priority
6164-HAQTX,0,0,0.023412054,Male,No,No,No,71,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),53.95,3888.65,4094,Low Risk,1.2630803351290525,15.15696402154863,95.84895073249936,Low Priority
0749-IRGQE,0,1,0.48215845,Female,Yes,Yes,No,13,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,45.3,528.45,4118,Medium Risk,21.841777887940406,262.10133465528486,1985.5285064578056,Critical Priority
1227-UDMZR,0,0,0.023597991,Female,No,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),91.15,6637.9,4311,Low Risk,2.150956888217479,25.811482658609748,101.73093960620463,Low Priority
5473-KHBPS,0,0,0.025311042,Female,No,Yes,Yes,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),95.7,4976.15,4415,Low Risk,2.422266683354974,29.067200200259688,111.74824876710773,Low Priority
5297-MDOIR,0,0,0.07914698,Female,No,Yes,No,63,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Credit card (automatic),81.15,5224.5,5294,Low Risk,6.422777527570725,77.0733303308487,419.004118680954,Medium Priority
8873-TMKGR,0,0,0.027703311,Male,No,No,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.1,529.5,5880,Low Risk,0.5291332457214595,6.349598948657514,162.8954704105854,Low Priority
6481-ESCNL,0,1,0.48375088,Female,No,No,No,29,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),100.55,2878.75,4847,Medium Risk,48.64115096032619,583.6938115239143,2344.740514218807,Critical Priority
0463-WZZKO,0,0,0.2040972,Male,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.75,67.1,2406,Low Risk,4.235016826540232,50.82020191848278,491.0578546822071,Medium Priority
1038-RQOST,0,0,0.04708303,Male,No,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.6,414.95,2276,Low Risk,0.9699104465544225,11.63892535865307,107.16097943484783,Low Priority
4937-QPZPO,0,0,0.04787016,Male,No,Yes,Yes,61,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,99.9,6241.35,5641,Low Risk,4.782228899002075,57.38674678802491,270.03556776046753,Medium Priority
3604-WLABM,0,0,0.27710128,Female,No,No,No,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,54.25,583.0,2253,Low Risk,15.032744348049164,180.39293217658997,624.309180021286,Medium Priority
1360-XFJMR,0,0,0.2728484,Female,No,Yes,No,67,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),109.7,7344.45,4017,Low Risk,29.93146920502186,359.1776304602623,1096.0320127308369,High Priority
